LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 0.9
Lattice spacing in x,y,z = 1.6441414 1.6441414 1.6441414
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  2 by 1 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 99999
velocity all create 3 99999

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.103 | 3.103 | 3.103 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     36000   2.9690034      1.3461707      0              5.7975013      17.870943    
     36500   2.9657854      1.3405088      0              5.7870147      17.857521    
     37000   3.0249571      1.3427331      0              5.8779532      17.706842    
     37500   3.1244754      1.2828565      0              5.9672811      17.379023    
     38000   3.024446       1.4092325      0              5.9436862      18.370127    
     38500   2.9943583      1.335523       0              5.8248674      17.810556    
     39000   2.8647188      1.42721        0              5.72219        18.348581    
     39500   2.9441348      1.3471714      0              5.7612172      17.841271    
     40000   3.028304       1.2696762      0              5.8099142      17.416804    
     40500   2.978324       1.3535138      0              5.8188184      17.85578     
     41000   3.0920665      1.3480586      0              5.9838936      17.966335    
     41500   2.9068591      1.3445886      0              5.7027482      17.554234    
     42000   3.0597787      1.2677268      0              5.8551538      17.10565     
     42500   3.0428729      1.3622803      0              5.924361       17.825322    
     43000   3.0300065      1.3536251      0              5.8964157      17.864461    
     43500   3.038293       1.3367681      0              5.8919822      17.702101    
     44000   3.0222484      1.3153964      0              5.8465555      17.578641    
     44500   3.0940489      1.3500471      0              5.9888543      17.879691    
     45000   2.9539323      1.3465012      0              5.7752361      17.726961    
     45500   2.9600642      1.3061545      0              5.7440828      17.336439    
     46000   3.0762439      1.2869228      0              5.8990356      17.237033    
     46500   2.9801236      1.3434444      0              5.811447       17.654858    
     47000   2.9565758      1.2661957      0              5.6988941      17.19162     
     47500   3.0144513      1.2298334      0              5.7493026      16.816555    
     48000   2.9986749      1.3045271      0              5.8003432      17.459755    
     48500   2.9972147      1.3648841      0              5.858511       17.931499    
     49000   3.0682044      1.3699265      0              5.9699859      17.927363    
     49500   2.9294565      1.3218213      0              5.7138606      17.489641    
     50000   2.9447175      1.3885889      0              5.8035083      18.105485    
Loop time of 7.95557 on 4 procs for 50000 steps with 2048 atoms

Performance: 5430159.064 tau/day, 6284.906 timesteps/s, 12.871 Matom-step/s
99.2% CPU use with 4 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
